last_update,23.07.2026 20:42
id,model,price
1,17 pro 256 orange esim,3260
2,17 pro 256 blue esim,3360
3,17 Pro 256 Silver eSim,3400
4,17 pro 256 orange sim+esim,3550
5,17 pro 256 blue sim+esim,3550
6,17 pro 256 silver sim+esim,3550
7,17 pro 512 orange esim,3910
8,17 pro 512 blue esim,3970
9,17 pro 512 silver  esim,4010
10,17 pro 512 orange sim+esim,4150
11,17 pro 512 blue sim+esim,4210
12,17 pro 512 silver sim+esim,4290
13,17 pro 1TB orange esim,4520
14,17 pro 1TB blue esim,4500
15,17 pro 1TB silver eSIM,4600
16,17 pro 1TB orange sim+sim,4780
17,17 pro 1TB blue sim+esim,4780
18,17 pro 1TB silver sim+sim,4810
19,17 Pro Max 256 orange esim,3560
20,17 Pro Max 256 blue esim,3560
21,17 Pro Max 256 silver esim,3590
22,17 Pro Max 256 orange sim+Esim,3910
23,17 Pro Max 256 blue sim+Esim,3910
24,17 Pro Max 256 silver sim+Esim,3970
25,17 Pro Max 512 orange esim,4200
26,17 Pro Max 512 silver esim,4200
27,17 Pro Max 512 blue esim,4210
28,17 Pro Max 512 orange sim+Esim,4490
29,17 Pro Max 512 blue sim+Esim,4470
30,17 Pro Max 512 silver sim+Esim,4550
31,17 pro max 1TB orange esim,4810
32,17 pro max 1TB blue esim,4860
33,17 pro max 1TB silver esim,4840
34,17 pro max 1TB orange sim+Esim,5240
35,17 pro max 1TB blue sim+Esim,5150
36,17 pro max 1TB silver sim+Esim,5210
37,Air 256 Black eSim,2660
38,Air 256 White eSim,2660
39,Air 256 Gold eSim,2660
40,Air 256 Blue eSim,2650
41,Air 512 black,3040
42,Air 512 gold,2950
43,Air 512 blue,2950
44,Air 512 white,3450
45,17e 256 black Esim,1970
46,17e 256 white Esim,1970
47,17e 256 pink Esim,1930
48,17e 256 Black Sim+eSim,2030
49,17e 256 White Sim +eSim,2030
50,17e 256 Pink Sim+eSim,2060
51,17 256 Black eSim,2630
52,17 256 White eSim,2660
53,17 256 Blue eSim,2630
54,17 256 Sage eSim,2620
55,17 256 Lavender eSim,2660
56,17 256 Black Sim+eSim,2660
57,17 256 White Sim+eSim,2660
58,17 256 Blue Sim+eSim,2630
59,17 256 Sage Sim+eSim,2650
60,17 256 Lavender Sim+eSim,2660
61,17 512 black Esim,3130
62,17 512 white Esim,3190
63,17/512 sage ESIM,3190
64,17 512 lavander Esim,3240
65,17 512 blue ESIM,3420
66,17 512 black Sim+Esim,3240
67,17 512 blue Sim+Esim,3270
68,17 512 white Sim+Esim,3270
69,17 512 sage Sim+Esim,3270
70,17 512 lavender Sim+Esim,3320
71,16 pro max 256 desert,3360
72,16е 128 GB black,1780
73,16e 128 White,1910
74,16/128 GB White,2230
75,16/128 GB Pink,2230
76,16/128 GB Black,2240
77,16/128 GB Teal,2140
78,16/128 GB Ultramarine,2220
79,16/256 GB Pink,2520
80,16/256 black,2550
81,16 Plus 128 White,2390
82,16 Plus 128 black,2350
83,16 Plus 128 teal,2390
84,16 Plus 128 pink,2390
85,16 Plus 128 ultramarine,2360
86,15/128 black,1880
87,15 128 Blue,1910
88,15/256 black,2200
89,15/256 blue,2190
90,15 Plus 128GB Blue,2230
